,id,date,time,user_id,username,name,tweet,language,link
337,1641666847165808641,2023-03-31,12:00:51,1229522775175335936,72gar7,StayStrongPalestine 🇵🇸🇵🇸🇵🇸,@STUDSGUY @Sigiwarmada @trikartikatika1 @B_G1928 @muslimsoleh_ @rmol_id Bener kan cebong itu goblok🤣🤣🤣 Luar negeri???  Cewek bule???  Plisss otakkkk.... 🤣🤣🤣🤣🤣,in,https://twitter.com/72Gar7/status/1641666847165808641
338,1641661472253313025,2023-03-31,11:39:30,3016913242,lezathe,bule caliburn,@sceqnted @klaskurli10 GOBLOK,in,https://twitter.com/lezathe/status/1641661472253313025
339,1641603837701263360,2023-03-31,07:50:29,1393986577743814657,user839104330,FOREVER ZHONGGUANG🔶💎,@FanKamuy and most of them shipper i saw and fanarts are draw them in ADULT FORM! READ THIS MF adult form. so it's obvious they DON'T SHIP RIVAMIKA BECAUSE THEIR AGES NGENTOTTTTT tolol banget sih bule goblok😭,en,https://twitter.com/user839104330/status/1641603837701263360
340,1641565150770778112,2023-03-31,05:16:45,1391679567203508227,pakthanos27,Pak Thanos,@Sekolahol1 @MprAldo Loe buta ya? Gak liat timnas negara lain? Noh liat Prancis lebih banyak bule atau apa? Yang penting namanya timnas Goblok dan bertanding mewakili negara. Kadrun emang tolol. Elo gak usah pura2 jadi penggemar sepakbola deh. Gak cocok. Elo cocoknya penjilat pantat onta. 🤣🤣🤣,in,https://twitter.com/PakThanos27/status/1641565150770778112
341,1641494993800945685,2023-03-31,00:37:58,253096749,vincentrcrd,Vincent Ricardo (柯仙森),"@GabrielleAlixia Gab, pointku adalah bule goblok itu memang ada tapi mereka ketika dibandingkan mayoritas Indonesia jauh lebih oke keterampilannya. I've worked with lots of foreigners juga dan they're so bad. Tapi pas ngelihat average labors kita juga ngaco dan spillover begini understandable.",in,https://twitter.com/vincentrcrd/status/1641494993800945685
342,1641459565362544641,2023-03-30,22:17:11,3016913242,lezathe,bule caliburn,"@sarjwana @chouferr @convomfs GOBLOK, bener juga",in,https://twitter.com/lezathe/status/1641459565362544641
343,1641453403527323655,2023-03-30,21:52:42,3016913242,lezathe,bule caliburn,"@kaleeins @timbfal @tawajayuk JUJUR, GOBLOK BGTTTTTT☺️☺️☺️",in,https://twitter.com/lezathe/status/1641453403527323655
344,1641399090570309632,2023-03-30,18:16:53,1502368658290769920,donad4656,Doni,@KepaArgawinata2 Alhamdulillah batal.... Karma kanjuruhan 😀😛😂.  Sepakbola kagak politik ya? 😀😛 kenapa ketua &amp; wakil semua orang politik..... Yg goblok siapa ya??? 👤 iwan Bule 😊tersenyum,in,https://twitter.com/donad4656/status/1641399090570309632
345,1641398851637506050,2023-03-30,18:15:56,1502368658290769920,donad4656,Doni,Alhamdulillah batal.... Karma kanjuruhan 😀😛😂.  Sepakbola kagak politik ya? 😀😛 kenapa ketua &amp; wakil semua orang politik..... Yg goblok siapa ya??? 👤 iwan Bule 😊tersenyum,in,https://twitter.com/donad4656/status/1641398851637506050
346,1641398470698303489,2023-03-30,18:14:25,1502368658290769920,donad4656,Doni,@gibran_tweet Alhamdulillah batal.... Karma kanjuruhan 😀😛😂.  Sepakbola kagak politik ya? 😀😛 kenapa ketua &amp; wakil semua orang politik..... Yg goblok siapa 👤 iwan Bule 😊tersenyum,in,https://twitter.com/donad4656/status/1641398470698303489
347,1641397899362816001,2023-03-30,18:12:09,1502368658290769920,donad4656,Doni,@FaktaSepakbola Alhamdulillah batal.... Karma kanjuruhan 😀😛😂.  Sepakbola kagak politik ya? 😀😛 kenapa ketua &amp; wakil semua orang politik..... Yg goblok siapa 👤 iwan Bule 😊tersenyum,in,https://twitter.com/donad4656/status/1641397899362816001
348,1641397523402174465,2023-03-30,18:10:39,1502368658290769920,donad4656,Doni,@ch_chotimah2 Alhamdulillah batal.... Karma kanjuruhan 😀😛😂.  Sepakbola kagak politik ya? 😀😛 kenapa ketua &amp; wakil semua orang politik..... Yg goblok siapa 👤 iwan Bule 😊tersenyum,in,https://twitter.com/donad4656/status/1641397523402174465
349,1641371197219938304,2023-03-30,16:26:03,56909278,njar_brahma,A,"@Jujubeat24 @FaktaSepakbola Klo gw jadi Councill FIFA, org Bule dan melihat surat dari Wayan Koster sbg Governer Bali dan takut ada Bomb..  Bayangin ketakutan bule kyk gimana.  Udah udah kita pindah negara lain aja dah!  Indonesia Govt aja takut dibom, apalagi kita??!!  Gitu kira2.  Kan goblok.Udh td tgn jg",in,https://twitter.com/njar_brahma/status/1641371197219938304
350,1641282995427627008,2023-03-30,10:35:34,3016913242,lezathe,bule caliburn,"@timbfal @kaleeins goblok, males ah bye",ht,https://twitter.com/lezathe/status/1641282995427627008
351,1641257689811648512,2023-03-30,08:55:01,1609409737917091840,farahan26529679,farah annisa,Peran perempuan memang OKE!  #SulwhasooxTheMet #RoséMETSulwhasoo  BREAKING NEWS Goblok Mahfud Iwan Bule  https://t.co/JYfGruEAxN,in,https://twitter.com/farahan26529679/status/1641257689811648512
352,1641253430865063937,2023-03-30,08:38:05,180976498,info_nusantara2,Info Nusantara,Jangan mencampur adukan urusan olahraga dengan politik!!!  #SulwhasooxTheMet #RoséMETSulwhasoo  BREAKING NEWS Goblok Mahfud Iwan Bule  https://t.co/yl2Jw5bDwe,in,https://twitter.com/Info_Nusantara2/status/1641253430865063937
353,1641247399422361600,2023-03-30,08:14:07,1597798693746356224,ajebah01,Ajebah,AKhirnya ..!  Mahfud buka Rincian Transaksi Janggal Rp 349 Triliun di Kemenkeu  Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay   https://t.co/qEE8U6Nk3q,in,https://twitter.com/Ajebah01/status/1641247399422361600
354,1641246804284145664,2023-03-30,08:11:45,1597798693746356224,ajebah01,Ajebah,Benny K Harman lanjut tantang Mahfud...... ayo para klithih nonton ini aja seru  Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay   https://t.co/WQBQ9sL2Gk,in,https://twitter.com/Ajebah01/status/1641246804284145664
355,1641246343682469888,2023-03-30,08:09:55,1597798693746356224,ajebah01,Ajebah,Arteria Dahlan dan Benny K Harman justru saling serang.   Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay   https://t.co/MQIe5oxltg,in,https://twitter.com/Ajebah01/status/1641246343682469888
356,1641245558840127488,2023-03-30,08:06:48,1597798693746356224,ajebah01,Ajebah,"JElang laga PSIS vs Persebaya, polisi benar benar siaga.. @psisfcofficial @persebayaupdate   Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay   https://t.co/EB5xzL4lVZ",in,https://twitter.com/Ajebah01/status/1641245558840127488
357,1641245101811957761,2023-03-30,08:04:59,1597798693746356224,ajebah01,Ajebah,Mahfud : Penjelasan Sri Mulyani keliru .... eng ing eng... gimana nih Bu Menkeu ?  Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay   https://t.co/3Ex9pi2Rzg,in,https://twitter.com/Ajebah01/status/1641245101811957761
358,1641244795116077056,2023-03-30,08:03:46,1597798693746356224,ajebah01,Ajebah,Mahfud meradang diinterupsi DPR  Iwan Bule BREAKING NEWS Markus Kecewa FIFA Tolol Karma Gubernur Rusia Golput Kanjuruhan Subuh Goblok Puas Lebay  https://t.co/UWD3DVfcoU,in,https://twitter.com/Ajebah01/status/1641244795116077056
